location,year,km_run,fuel,trans,owner,mileage,engine,power,seats,brand,model
Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta
Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,Honda,Jazz
Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,Maruti,Ertiga
Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,Audi,A4
Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,Nissan,Micra
Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,Toyota,Innova
Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento
Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,Tata,Indica
Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,Maruti,Ciaz
Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,Honda,City
Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,Maruti,Swift
Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,Land,Rover
Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,Mitsubishi,Pajero
Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift
Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,Renault,Duster
Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,Mercedes-Benz,New
Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,BMW,3
Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,Maruti,S
Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,Audi,A6
Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,Hyundai,i20
Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,Volkswagen,Vento
Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,Honda,City
Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,Nissan,Micra
Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,Maruti,Alto
Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,Honda,WRV
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,Toyota,Innova
Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,Renault,Duster
Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,Toyota,Corolla
Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,Mahindra,Ssangyong
Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,Audi,A6
Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,Volkswagen,Vento
Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,Maruti,Wagon
Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,Mahindra,KUV
Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,Mercedes-Benz,M-Class
Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto
Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,Tata,Nano
Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,Mahindra,KUV
Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,Hyundai,i20
Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,Hyundai,Elantra
Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,Toyota,Corolla
Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,Hyundai,Elantra
Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,Toyota,Innova
Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,Hyundai,Xcent
Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,Mahindra,Thar
Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,Audi,A4
Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,Maruti,Swift
Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift
Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,Hyundai,Grand
Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,Volkswagen,Vento
Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID
Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,Nissan,X-Trail
Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,Maruti,Zen
Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,Toyota,Innova
Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,Mercedes-Benz,New
Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,Mercedes-Benz,New
